商品番号,商品名,宅配サイズ,内寸,外形三辺合計,厚み,形式,パレット配置,価格,URL
MAS140-127,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×6段］（594×474×288mm）3mm B/F 白C5×C5,宅配140サイズ,594×474×288mm,140cm,3mm B/F,C5×C5,1段4箱×6段,"1 円",https://www.notosiki.co.jp/item/detail?num=MAS140-127
MA140-285,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×6段］（590×470×280mm）5mm A/F K6×強化芯180g×K6,宅配140サイズ,590×470×280mm,140cm,5mm A/F,K6×強化芯180g×K6,1段4箱×6段,"1 円",https://www.notosiki.co.jp/item/detail?num=MA140-285
MA140-286,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×6段］（584×464×268mm）8mm W/F C5×C5,宅配140サイズ,584×464×268mm,140cm,8mm W/F,C5×C5,1段4箱×6段,"1 円",https://www.notosiki.co.jp/item/detail?num=MA140-286
MA140-287,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×7段］（594×474×238mm）3mm B/F C5×C5,宅配140サイズ,594×474×238mm,140cm,3mm B/F,C5×C5,1段4箱×7段,"1 円",https://www.notosiki.co.jp/item/detail?num=MA140-287
MA140-288,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×7段］（590×470×230mm）5mm A/F K5×K5,宅配140サイズ,590×470×230mm,140cm,5mm A/F,K5×K5,1段4箱×7段,"1 円",https://www.notosiki.co.jp/item/detail?num=MA140-288
MAS140-128,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×7段］（590×470×230mm）5mm A/F 白C5×C5,宅配140サイズ,590×470×230mm,140cm,5mm A/F,C5×C5,1段4箱×7段,"1 円",https://www.notosiki.co.jp/item/detail?num=MAS140-128
MAS140-129,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×7段］（594×474×238mm）3mm B/F 白C5×C5,宅配140サイズ,594×474×238mm,140cm,3mm B/F,C5×C5,1段4箱×7段,"1 円",https://www.notosiki.co.jp/item/detail?num=MAS140-129
MA140-289,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×7段］（590×470×230mm）5mm A/F K6×強化芯180g×K6,宅配140サイズ,590×470×230mm,140cm,5mm A/F,K6×強化芯180g×K6,1段4箱×7段,"1 円",https://www.notosiki.co.jp/item/detail?num=MA140-289
MA140-290,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×7段］（584×464×218mm）8mm W/F C5×C5,宅配140サイズ,584×464×218mm,140cm,8mm W/F,C5×C5,1段4箱×7段,"1 円",https://www.notosiki.co.jp/item/detail?num=MA140-290
MA140-291,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×8段］（594×474×208mm）3mm B/F C5×C5,宅配140サイズ,594×474×208mm,140cm,3mm B/F,C5×C5,1段4箱×8段,"1 円",https://www.notosiki.co.jp/item/detail?num=MA140-291
MA140-292,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×8段］（590×470×200mm）5mm A/F K5×K5,宅配140サイズ,590×470×200mm,140cm,5mm A/F,K5×K5,1段4箱×8段,"1 円",https://www.notosiki.co.jp/item/detail?num=MA140-292
MAS140-130,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×8段］（590×470×200mm）5mm A/F 白C5×C5,宅配140サイズ,590×470×200mm,140cm,5mm A/F,C5×C5,1段4箱×8段,"1 円",https://www.notosiki.co.jp/item/detail?num=MAS140-130
MAS140-131,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×8段］（594×474×208mm）3mm B/F 白C5×C5,宅配140サイズ,594×474×208mm,140cm,3mm B/F,C5×C5,1段4箱×8段,"1 円",https://www.notosiki.co.jp/item/detail?num=MAS140-131
MA140-293,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×8段］（590×470×200mm）5mm A/F K6×強化芯180g×K6,宅配140サイズ,590×470×200mm,140cm,5mm A/F,K6×強化芯180g×K6,1段4箱×8段,"1 円",https://www.notosiki.co.jp/item/detail?num=MA140-293
MA140-294,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×8段］（584×464×188mm）8mm W/F C5×C5,宅配140サイズ,584×464×188mm,140cm,8mm W/F,C5×C5,1段4箱×8段,"1 円",https://www.notosiki.co.jp/item/detail?num=MA140-294
MA140-295,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×9段］（594×474×188mm）3mm B/F C5×C5,宅配140サイズ,594×474×188mm,140cm,3mm B/F,C5×C5,1段4箱×9段,"1 円",https://www.notosiki.co.jp/item/detail?num=MA140-295
MA140-296,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×9段］（590×470×180mm）5mm A/F K5×K5,宅配140サイズ,590×470×180mm,140cm,5mm A/F,K5×K5,1段4箱×9段,"1 円",https://www.notosiki.co.jp/item/detail?num=MA140-296
MAS140-132,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×9段］（590×470×180mm）5mm A/F 白C5×C5,宅配140サイズ,590×470×180mm,140cm,5mm A/F,C5×C5,1段4箱×9段,"1 円",https://www.notosiki.co.jp/item/detail?num=MAS140-132
MAS140-133,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×9段］（594×474×188mm）3mm B/F 白C5×C5,宅配140サイズ,594×474×188mm,140cm,3mm B/F,C5×C5,1段4箱×9段,"1 円",https://www.notosiki.co.jp/item/detail?num=MAS140-133
MA140-297,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×9段］（590×470×180mm）5mm A/F K6×強化芯180g×K6,宅配140サイズ,590×470×180mm,140cm,5mm A/F,K6×強化芯180g×K6,1段4箱×9段,"1 円",https://www.notosiki.co.jp/item/detail?num=MA140-297
MA140-298,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×9段］（584×464×168mm）8mm W/F C5×C5,宅配140サイズ,584×464×168mm,140cm,8mm W/F,C5×C5,1段4箱×9段,"1 円",https://www.notosiki.co.jp/item/detail?num=MA140-298
MA140-299,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×10段］（594×474×168mm）3mm B/F C5×C5,宅配140サイズ,594×474×168mm,140cm,3mm B/F,C5×C5,1段4箱×10段,"1 円",https://www.notosiki.co.jp/item/detail?num=MA140-299
MA140-300,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×10段］（590×470×160mm）5mm A/F K5×K5,宅配140サイズ,590×470×160mm,140cm,5mm A/F,K5×K5,1段4箱×10段,"1 円",https://www.notosiki.co.jp/item/detail?num=MA140-300
MAS140-134,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×10段］（590×470×160mm）5mm A/F 白C5×C5,宅配140サイズ,590×470×160mm,140cm,5mm A/F,C5×C5,1段4箱×10段,"1 円",https://www.notosiki.co.jp/item/detail?num=MAS140-134
MAS140-135,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×10段］（594×474×168mm）3mm B/F 白C5×C5,宅配140サイズ,594×474×168mm,140cm,3mm B/F,C5×C5,1段4箱×10段,"1 円",https://www.notosiki.co.jp/item/detail?num=MAS140-135
MA140-301,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×10段］（590×470×160mm）5mm A/F K6×強化芯180g×K6,宅配140サイズ,590×470×160mm,140cm,5mm A/F,K6×強化芯180g×K6,1段4箱×10段,"1 円",https://www.notosiki.co.jp/item/detail?num=MA140-301
MA140-302,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×10段］（584×464×148mm）8mm W/F C5×C5,宅配140サイズ,584×464×148mm,140cm,8mm W/F,C5×C5,1段4箱×10段,"1 円",https://www.notosiki.co.jp/item/detail?num=MA140-302
MA140-303,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×4段］（594×234×438mm）3mm B/F C5×C5,宅配140サイズ,594×234×438mm,140cm,3mm B/F,C5×C5,1段8箱×4段,"1 円",https://www.notosiki.co.jp/item/detail?num=MA140-303
MA140-304,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×4段］（590×230×430mm）5mm A/F K5×K5,宅配140サイズ,590×230×430mm,140cm,5mm A/F,K5×K5,1段8箱×4段,"1 円",https://www.notosiki.co.jp/item/detail?num=MA140-304
MAS140-136,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×4段］（590×230×430mm）5mm A/F 白C5×C5,宅配140サイズ,590×230×430mm,140cm,5mm A/F,C5×C5,1段8箱×4段,"1 円",https://www.notosiki.co.jp/item/detail?num=MAS140-136
MAS140-137,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×4段］（594×234×438mm）3mm B/F 白C5×C5,宅配140サイズ,594×234×438mm,140cm,3mm B/F,C5×C5,1段8箱×4段,"1 円",https://www.notosiki.co.jp/item/detail?num=MAS140-137
MA140-305,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×4段］（590×230×430mm）5mm A/F K6×強化芯180g×K6,宅配140サイズ,590×230×430mm,140cm,5mm A/F,K6×強化芯180g×K6,1段8箱×4段,"1 円",https://www.notosiki.co.jp/item/detail?num=MA140-305
MA140-306,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×4段］（584×224×418mm）8mm W/F C5×C5,宅配140サイズ,584×224×418mm,140cm,8mm W/F,C5×C5,1段8箱×4段,"1 円",https://www.notosiki.co.jp/item/detail?num=MA140-306
MA120-213,【宅配120サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×5段］（594×234×348mm）3mm B/F C5×C5,宅配120サイズ,594×234×348mm,120cm,3mm B/F,C5×C5,1段8箱×5段,"1 円",https://www.notosiki.co.jp/item/detail?num=MA120-213
MA120-214,【宅配120サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×5段］（590×230×340mm）5mm A/F K5×K5,宅配120サイズ,590×230×340mm,120cm,5mm A/F,K5×K5,1段8箱×5段,"1 円",https://www.notosiki.co.jp/item/detail?num=MA120-214
MAS120-087,【宅配120サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×5段］（590×230×340mm）5mm A/F 白C5×C5,宅配120サイズ,590×230×340mm,120cm,5mm A/F,C5×C5,1段8箱×5段,"1 円",https://www.notosiki.co.jp/item/detail?num=MAS120-087
MAS120-088,【宅配120サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×5段］（594×234×348mm）3mm B/F 白C5×C5,宅配120サイズ,594×234×348mm,120cm,3mm B/F,C5×C5,1段8箱×5段,"1 円",https://www.notosiki.co.jp/item/detail?num=MAS120-088
MA120-215,【宅配120サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×5段］（590×230×340mm）5mm A/F K6×強化芯180g×K6,宅配120サイズ,590×230×340mm,120cm,5mm A/F,K6×強化芯180g×K6,1段8箱×5段,"7 円",https://www.notosiki.co.jp/item/detail?num=MA120-215
MA120-216,【宅配120サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×5段］（584×224×328mm）8mm W/F C5×C5,宅配120サイズ,584×224×328mm,120cm,8mm W/F,C5×C5,1段8箱×5段,"7 円",https://www.notosiki.co.jp/item/detail?num=MA120-216
MA120-217,【宅配120サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×6段］（594×234×288mm）3mm B/F C5×C5,宅配120サイズ,594×234×288mm,120cm,3mm B/F,C5×C5,1段8箱×6段,"7 円",https://www.notosiki.co.jp/item/detail?num=MA120-217
MA120-218,【宅配120サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×6段］（590×230×280mm）5mm A/F K5×K5,宅配120サイズ,590×230×280mm,120cm,5mm A/F,K5×K5,1段8箱×6段,"7 円",https://www.notosiki.co.jp/item/detail?num=MA120-218
MAS120-090,【宅配120サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×6段］（594×234×288mm）3mm B/F 白C5×C5,宅配120サイズ,594×234×288mm,120cm,3mm B/F,C5×C5,1段8箱×6段,"7 円",https://www.notosiki.co.jp/item/detail?num=MAS120-090
MA120-220,【宅配120サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×6段］（584×224×268mm）8mm W/F C5×C5,宅配120サイズ,584×224×268mm,120cm,8mm W/F,C5×C5,1段8箱×6段,"7 円",https://www.notosiki.co.jp/item/detail?num=MA120-220
MA120-221,【宅配120サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×7段］（594×234×238mm）3mm B/F C5×C5,宅配120サイズ,594×234×238mm,120cm,3mm B/F,C5×C5,1段8箱×7段,"7 円",https://www.notosiki.co.jp/item/detail?num=MA120-221
MA120-222,【宅配120サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×7段］（590×230×230mm）5mm A/F K5×K5,宅配120サイズ,590×230×230mm,120cm,5mm A/F,K5×K5,1段8箱×7段,"7 円",https://www.notosiki.co.jp/item/detail?num=MA120-222
MAS120-091,【宅配120サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×7段］（590×230×230mm）5mm A/F 白C5×C5,宅配120サイズ,590×230×230mm,120cm,5mm A/F,C5×C5,1段8箱×7段,"7 円",https://www.notosiki.co.jp/item/detail?num=MAS120-091
MAS120-092,【宅配120サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×7段］（594×234×238mm）3mm B/F 白C5×C5,宅配120サイズ,594×234×238mm,120cm,3mm B/F,C5×C5,1段8箱×7段,"7 円",https://www.notosiki.co.jp/item/detail?num=MAS120-092
MA120-223,【宅配120サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×7段］（590×230×230mm）5mm A/F K6×強化芯180g×K6,宅配120サイズ,590×230×230mm,120cm,5mm A/F,K6×強化芯180g×K6,1段8箱×7段,"7 円",https://www.notosiki.co.jp/item/detail?num=MA120-223
MA120-224,【宅配120サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×7段］（584×224×218mm）8mm W/F C5×C5,宅配120サイズ,584×224×218mm,120cm,8mm W/F,C5×C5,1段8箱×7段,"7 円",https://www.notosiki.co.jp/item/detail?num=MA120-224
MA120-225,【宅配120サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×8段］（594×234×208mm）3mm B/F C5×C5,宅配120サイズ,594×234×208mm,120cm,3mm B/F,C5×C5,1段8箱×8段,"7 円",https://www.notosiki.co.jp/item/detail?num=MA120-225
MAS120-093,【宅配120サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×8段］（590×230×200mm）5mm A/F 白C5×C5,宅配120サイズ,590×230×200mm,120cm,5mm A/F,C5×C5,1段8箱×8段,"7 円",https://www.notosiki.co.jp/item/detail?num=MAS120-093
MAS120-094,【宅配120サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×8段］（594×234×208mm）3mm B/F 白C5×C5,宅配120サイズ,594×234×208mm,120cm,3mm B/F,C5×C5,1段8箱×8段,"7 円",https://www.notosiki.co.jp/item/detail?num=MAS120-094
MA120-227,【宅配120サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×8段］（590×230×200mm）5mm A/F K6×強化芯180g×K6,宅配120サイズ,590×230×200mm,120cm,5mm A/F,K6×強化芯180g×K6,1段8箱×8段,"7 円",https://www.notosiki.co.jp/item/detail?num=MA120-227
MA120-228,【宅配120サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×8段］（584×224×188mm）8mm W/F C5×C5,宅配120サイズ,584×224×188mm,120cm,8mm W/F,C5×C5,1段8箱×8段,"7 円",https://www.notosiki.co.jp/item/detail?num=MA120-228
MA120-229,【宅配120サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×9段］（594×234×188mm）3mm B/F C5×C5,宅配120サイズ,594×234×188mm,120cm,3mm B/F,C5×C5,1段8箱×9段,"7 円",https://www.notosiki.co.jp/item/detail?num=MA120-229
MA120-230,【宅配120サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×9段］（590×230×180mm）5mm A/F K5×K5,宅配120サイズ,590×230×180mm,120cm,5mm A/F,K5×K5,1段8箱×9段,"7 円",https://www.notosiki.co.jp/item/detail?num=MA120-230
MAS120-095,【宅配120サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×9段］（590×230×180mm）5mm A/F 白C5×C5,宅配120サイズ,590×230×180mm,120cm,5mm A/F,C5×C5,1段8箱×9段,"7 円",https://www.notosiki.co.jp/item/detail?num=MAS120-095
MA120-231,【宅配120サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×9段］（590×230×180mm）5mm A/F K6×強化芯180g×K6,宅配120サイズ,590×230×180mm,120cm,5mm A/F,K6×強化芯180g×K6,1段8箱×9段,"7 円",https://www.notosiki.co.jp/item/detail?num=MA120-231
MA120-232,【宅配120サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×9段］（584×224×168mm）8mm W/F C5×C5,宅配120サイズ,584×224×168mm,120cm,8mm W/F,C5×C5,1段8箱×9段,"7 円",https://www.notosiki.co.jp/item/detail?num=MA120-232
MA120-233,【宅配120サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×10段］（594×234×168mm）3mm B/F C5×C5,宅配120サイズ,594×234×168mm,120cm,3mm B/F,C5×C5,1段8箱×10段,"7 円",https://www.notosiki.co.jp/item/detail?num=MA120-233
MA120-234,【宅配120サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×10段］（590×230×160mm）5mm A/F K5×K5,宅配120サイズ,590×230×160mm,120cm,5mm A/F,K5×K5,1段8箱×10段,"7 円",https://www.notosiki.co.jp/item/detail?num=MA120-234
MAS120-097,【宅配120サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×10段］（590×230×160mm）5mm A/F 白C5×C5,宅配120サイズ,590×230×160mm,120cm,5mm A/F,C5×C5,1段8箱×10段,"7 円",https://www.notosiki.co.jp/item/detail?num=MAS120-097
MA120-235,【宅配120サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×10段］（590×230×160mm）5mm A/F K6×強化芯180g×K6,宅配120サイズ,590×230×160mm,120cm,5mm A/F,K6×強化芯180g×K6,1段8箱×10段,"7 円",https://www.notosiki.co.jp/item/detail?num=MA120-235
MA120-236,【宅配120サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×10段］（584×224×148mm）8mm W/F C5×C5,宅配120サイズ,584×224×148mm,120cm,8mm W/F,C5×C5,1段8箱×10段,"7 円",https://www.notosiki.co.jp/item/detail?num=MA120-236
MA140-308,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×6段］（580×480×280mm）5mm A/F K5×K5,宅配140サイズ,580×480×280mm,140cm,5mm A/F,K5×K5,1段4箱×6段,"7 円",https://www.notosiki.co.jp/item/detail?num=MA140-308
MAS140-138,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×6段］（580×480×280mm）5mm A/F 白C5×C5,宅配140サイズ,580×480×280mm,140cm,5mm A/F,C5×C5,1段4箱×6段,"7 円",https://www.notosiki.co.jp/item/detail?num=MAS140-138
MAS140-139,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×6段］（584×484×288mm）3mm B/F 白C5×C5,宅配140サイズ,584×484×288mm,140cm,3mm B/F,C5×C5,1段4箱×6段,"7 円",https://www.notosiki.co.jp/item/detail?num=MAS140-139
MA140-309,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×6段］（580×480×280mm）5mm A/F K6×強化芯180g×K6,宅配140サイズ,580×480×280mm,140cm,5mm A/F,K6×強化芯180g×K6,1段4箱×6段,"7 円",https://www.notosiki.co.jp/item/detail?num=MA140-309
MA140-310,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×6段］（574×474×268mm）8mm W/F C5×C5,宅配140サイズ,574×474×268mm,140cm,8mm W/F,C5×C5,1段4箱×6段,"7 円",https://www.notosiki.co.jp/item/detail?num=MA140-310
MA140-311,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×7段］（584×484×238mm）3mm B/F C5×C5,宅配140サイズ,584×484×238mm,140cm,3mm B/F,C5×C5,1段4箱×7段,"7 円",https://www.notosiki.co.jp/item/detail?num=MA140-311
MA140-312,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×7段］（580×480×230mm）5mm A/F K5×K5,宅配140サイズ,580×480×230mm,140cm,5mm A/F,K5×K5,1段4箱×7段,"7 円",https://www.notosiki.co.jp/item/detail?num=MA140-312
MAS140-140,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×7段］（580×480×230mm）5mm A/F 白C5×C5,宅配140サイズ,580×480×230mm,140cm,5mm A/F,C5×C5,1段4箱×7段,"7 円",https://www.notosiki.co.jp/item/detail?num=MAS140-140
MAS140-141,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×7段］（584×484×238mm）3mm B/F 白C5×C5,宅配140サイズ,584×484×238mm,140cm,3mm B/F,C5×C5,1段4箱×7段,"7 円",https://www.notosiki.co.jp/item/detail?num=MAS140-141
MA140-313,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×7段］（580×480×230mm）5mm A/F K6×強化芯180g×K6,宅配140サイズ,580×480×230mm,140cm,5mm A/F,K6×強化芯180g×K6,1段4箱×7段,"7 円",https://www.notosiki.co.jp/item/detail?num=MA140-313
MA140-314,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×7段］（574×474×218mm）8mm W/F C5×C5,宅配140サイズ,574×474×218mm,140cm,8mm W/F,C5×C5,1段4箱×7段,"7 円",https://www.notosiki.co.jp/item/detail?num=MA140-314
MA140-315,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×8段］（584×484×208mm）3mm B/F C5×C5,宅配140サイズ,584×484×208mm,140cm,3mm B/F,C5×C5,1段4箱×8段,"7 円",https://www.notosiki.co.jp/item/detail?num=MA140-315
MA140-316,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×8段］（580×480×200mm）5mm A/F K5×K5,宅配140サイズ,580×480×200mm,140cm,5mm A/F,K5×K5,1段4箱×8段,"7 円",https://www.notosiki.co.jp/item/detail?num=MA140-316
MAS140-142,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×8段］（580×480×200mm）5mm A/F 白C5×C5,宅配140サイズ,580×480×200mm,140cm,5mm A/F,C5×C5,1段4箱×8段,"6 円",https://www.notosiki.co.jp/item/detail?num=MAS140-142
MAS140-143,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×8段］（584×484×208mm）3mm B/F 白C5×C5,宅配140サイズ,584×484×208mm,140cm,3mm B/F,C5×C5,1段4箱×8段,"6 円",https://www.notosiki.co.jp/item/detail?num=MAS140-143
MA140-317,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×8段］（580×480×200mm）5mm A/F K6×強化芯180g×K6,宅配140サイズ,580×480×200mm,140cm,5mm A/F,K6×強化芯180g×K6,1段4箱×8段,"6 円",https://www.notosiki.co.jp/item/detail?num=MA140-317
MA140-318,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×8段］（574×474×188mm）8mm W/F C5×C5,宅配140サイズ,574×474×188mm,140cm,8mm W/F,C5×C5,1段4箱×8段,"6 円",https://www.notosiki.co.jp/item/detail?num=MA140-318
MA140-319,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×9段］（584×484×188mm）3mm B/F C5×C5,宅配140サイズ,584×484×188mm,140cm,3mm B/F,C5×C5,1段4箱×9段,"6 円",https://www.notosiki.co.jp/item/detail?num=MA140-319
MA140-320,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×9段］（580×480×180mm）5mm A/F K5×K5,宅配140サイズ,580×480×180mm,140cm,5mm A/F,K5×K5,1段4箱×9段,"6 円",https://www.notosiki.co.jp/item/detail?num=MA140-320
MAS140-144,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×9段］（580×480×180mm）5mm A/F 白C5×C5,宅配140サイズ,580×480×180mm,140cm,5mm A/F,C5×C5,1段4箱×9段,"6 円",https://www.notosiki.co.jp/item/detail?num=MAS140-144
MAS140-145,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×9段］（584×484×188mm）3mm B/F 白C5×C5,宅配140サイズ,584×484×188mm,140cm,3mm B/F,C5×C5,1段4箱×9段,"6 円",https://www.notosiki.co.jp/item/detail?num=MAS140-145
MA140-321,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×9段］（580×480×180mm）5mm A/F K6×強化芯180g×K6,宅配140サイズ,580×480×180mm,140cm,5mm A/F,K6×強化芯180g×K6,1段4箱×9段,"6 円",https://www.notosiki.co.jp/item/detail?num=MA140-321
MA140-322,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×9段］（574×474×168mm）8mm W/F C5×C5,宅配140サイズ,574×474×168mm,140cm,8mm W/F,C5×C5,1段4箱×9段,"6 円",https://www.notosiki.co.jp/item/detail?num=MA140-322
MA140-323,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×10段］（584×484×168mm）3mm B/F C5×C5,宅配140サイズ,584×484×168mm,140cm,3mm B/F,C5×C5,1段4箱×10段,"6 円",https://www.notosiki.co.jp/item/detail?num=MA140-323
MA140-324,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×10段］（580×480×160mm）5mm A/F K5×K5,宅配140サイズ,580×480×160mm,140cm,5mm A/F,K5×K5,1段4箱×10段,"6 円",https://www.notosiki.co.jp/item/detail?num=MA140-324
MAS140-146,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×10段］（580×480×160mm）5mm A/F 白C5×C5,宅配140サイズ,580×480×160mm,140cm,5mm A/F,C5×C5,1段4箱×10段,"6 円",https://www.notosiki.co.jp/item/detail?num=MAS140-146
MAS140-147,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×10段］（584×484×168mm）3mm B/F 白C5×C5,宅配140サイズ,584×484×168mm,140cm,3mm B/F,C5×C5,1段4箱×10段,"6 円",https://www.notosiki.co.jp/item/detail?num=MAS140-147
MA140-325,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×10段］（580×480×160mm）5mm A/F K6×強化芯180g×K6,宅配140サイズ,580×480×160mm,140cm,5mm A/F,K6×強化芯180g×K6,1段4箱×10段,"6 円",https://www.notosiki.co.jp/item/detail?num=MA140-325
MA140-326,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×10段］（574×474×148mm）8mm W/F C5×C5,宅配140サイズ,574×474×148mm,140cm,8mm W/F,C5×C5,1段4箱×10段,"6 円",https://www.notosiki.co.jp/item/detail?num=MA140-326
MA140-327,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×4段］（584×234×438mm）3mm B/F C5×C5,宅配140サイズ,584×234×438mm,140cm,3mm B/F,C5×C5,1段8箱×4段,"6 円",https://www.notosiki.co.jp/item/detail?num=MA140-327
MA140-328,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×4段］（580×230×430mm）5mm A/F K5×K5,宅配140サイズ,580×230×430mm,140cm,5mm A/F,K5×K5,1段8箱×4段,"6 円",https://www.notosiki.co.jp/item/detail?num=MA140-328
