商品番号,商品名,宅配サイズ,内寸,外形三辺合計,厚み,形式,パレット配置,価格,URL
MA120-226,【宅配120サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×8段］（590×230×200mm）5mm A/F K5×K5,宅配120サイズ,590×230×200mm,120cm,5mm A/F,K5×K5,1段8箱×8段,"7 円",https://www.notosiki.co.jp/item/detail?num=MA120-226
MAS120-096,【宅配120サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×9段］（594×234×188mm）3mm B/F 白C5×C5,宅配120サイズ,594×234×188mm,120cm,3mm B/F,C5×C5,1段8箱×9段,"5 円",https://www.notosiki.co.jp/item/detail?num=MAS120-096
MAS120-098,【宅配120サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×10段］（594×234×168mm）3mm B/F 白C5×C5,宅配120サイズ,594×234×168mm,120cm,3mm B/F,C5×C5,1段8箱×10段,"5 円",https://www.notosiki.co.jp/item/detail?num=MAS120-098
MA140-307,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×6段］（584×484×288mm）3mm B/F C5×C5,宅配140サイズ,584×484×288mm,140cm,3mm B/F,C5×C5,1段4箱×6段,"5 円",https://www.notosiki.co.jp/item/detail?num=MA140-307
MAS120-109,【宅配120サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×10段］（580×230×160mm）5mm A/F 白C5×C5,宅配120サイズ,580×230×160mm,120cm,5mm A/F,C5×C5,1段8箱×10段,"5 円",https://www.notosiki.co.jp/item/detail?num=MAS120-109
MA140-340,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×9段］（564×504×188mm）3mm B/F C5×C5,宅配140サイズ,564×504×188mm,140cm,3mm B/F,C5×C5,1段4箱×9段,"5 円",https://www.notosiki.co.jp/item/detail?num=MA140-340
MA140-348,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×4段］（564×244×438mm）3mm B/F C5×C5,宅配140サイズ,564×244×438mm,140cm,3mm B/F,C5×C5,1段8箱×4段,"5 円",https://www.notosiki.co.jp/item/detail?num=MA140-348
MA120-266,【宅配120サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×6段］（560×240×280mm）5mm A/F K5×K5,宅配120サイズ,560×240×280mm,120cm,5mm A/F,K5×K5,1段8箱×6段,"5 円",https://www.notosiki.co.jp/item/detail?num=MA120-266
MAS120-115,【宅配120サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×7段］（560×240×230mm）5mm A/F 白C5×C5,宅配120サイズ,560×240×230mm,120cm,5mm A/F,C5×C5,1段8箱×7段,"5 円",https://www.notosiki.co.jp/item/detail?num=MAS120-115
MA120-274,【宅配120サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×8段］（560×240×200mm）5mm A/F K5×K5,宅配120サイズ,560×240×200mm,120cm,5mm A/F,K5×K5,1段8箱×8段,"5 円",https://www.notosiki.co.jp/item/detail?num=MA120-274
MA120-280,【宅配120サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×9段］（554×234×168mm）8mm W/F C5×C5,宅配120サイズ,554×234×168mm,120cm,8mm W/F,C5×C5,1段8箱×9段,"5 円",https://www.notosiki.co.jp/item/detail?num=MA120-280
MA140-354,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×7段］（530×530×230mm）5mm A/F K5×K5,宅配140サイズ,530×530×230mm,140cm,5mm A/F,K5×K5,1段4箱×7段,"5 円",https://www.notosiki.co.jp/item/detail?num=MA140-354
MA140-355,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×7段］（530×530×230mm）5mm A/F K6×強化芯180g×K6,宅配140サイズ,530×530×230mm,140cm,5mm A/F,K6×強化芯180g×K6,1段4箱×7段,"5 円",https://www.notosiki.co.jp/item/detail?num=MA140-355
MA140-368,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×10段］（524×524×148mm）8mm W/F C5×C5,宅配140サイズ,524×524×148mm,140cm,8mm W/F,C5×C5,1段4箱×10段,"5 円",https://www.notosiki.co.jp/item/detail?num=MA140-368
MA140-372,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段6箱×5段］（530×350×340mm）5mm A/F K5×K5,宅配140サイズ,530×350×340mm,140cm,5mm A/F,K5×K5,1段6箱×5段,"5 円",https://www.notosiki.co.jp/item/detail?num=MA140-372
